DATE,TIME,MHz,CPU_0,CPU_1,CPU_2,CPU_3,LOAD%,GPU
05/13/18,12:50:27,3984.00,45,43,45,46,0.8,62
05/13/18,12:50:28,3984.00,45,43,45,46,0.9,62
05/13/18,12:50:29,3984.00,45,43,46,45,0.9,62
05/13/18,12:50:30,3984.00,45,43,46,45,0.9,62
05/13/18,12:50:31,3984.00,45,43,46,45,0.9,62
05/13/18,12:50:32,3984.00,45,43,46,46,0.9,62
05/13/18,12:50:33,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:34,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:35,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:36,3984.00,45,43,45,45,1.0,62
05/13/18,12:50:37,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:38,3984.00,45,42,45,46,0.9,62
05/13/18,12:50:39,3984.00,45,42,45,46,0.9,62
05/13/18,12:50:40,3984.00,45,43,46,45,0.9,62
05/13/18,12:50:41,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:42,3984.00,45,43,45,45,1.0,62
05/13/18,12:50:43,3984.00,44,42,45,45,0.8,62
05/13/18,12:50:44,3984.00,45,42,45,44,1.0,62
05/13/18,12:50:45,3984.00,44,43,45,44,0.9,62
05/13/18,12:50:46,3984.00,44,43,45,44,1.0,62
05/13/18,12:50:47,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:48,3984.00,44,43,46,46,0.9,62
05/13/18,12:50:49,3984.00,44,43,46,45,0.9,62
05/13/18,12:50:50,3984.00,44,44,46,44,0.8,62
05/13/18,12:50:51,3984.00,45,42,45,45,0.9,62
05/13/18,12:50:52,3984.00,45,43,45,45,0.9,62
05/13/18,12:50:53,3984.00,44,43,46,45,0.9,62
05/13/18,12:50:54,3984.00,44,43,45,45,0.9,62
05/13/18,12:50:55,3984.00,44,42,45,44,0.9,62
05/13/18,12:50:56,3984.00,45,42,46,44,0.9,62
05/13/18,12:50:57,3984.00,44,43,45,45,1.3,62
05/13/18,12:50:58,3984.00,44,42,45,45,1.0,62
05/13/18,12:50:59,3984.00,44,43,45,45,0.9,62
05/13/18,12:51:00,3984.00,44,42,45,44,0.9,62
05/13/18,12:51:01,3984.00,44,43,45,45,0.9,62
05/13/18,12:51:02,3984.00,44,42,46,44,1.0,62
05/13/18,12:51:03,3984.00,44,42,45,45,0.9,62
05/13/18,12:51:04,3984.00,44,42,44,44,0.8,62
05/13/18,12:51:05,3984.00,44,43,45,44,0.9,62
05/13/18,12:51:06,3984.00,44,42,46,44,1.0,62
05/13/18,12:51:07,3984.00,45,43,45,44,1.0,62
05/13/18,12:51:08,3984.00,45,43,45,44,0.9,62
05/13/18,12:51:09,3984.00,44,43,45,45,1.0,62
05/13/18,12:51:10,3984.00,45,42,45,44,0.9,62
05/13/18,12:51:11,3984.00,44,42,45,44,1.0,62
05/13/18,12:51:12,3984.00,44,42,45,46,0.8,62
05/13/18,12:51:13,3984.00,44,43,45,45,0.8,62
05/13/18,12:51:14,3984.00,44,42,45,44,1.0,62
05/13/18,12:51:15,3984.00,44,43,45,45,1.6,62
05/13/18,12:51:16,3984.00,45,43,46,45,0.9,62
05/13/18,12:51:17,3984.00,44,43,45,44,0.9,62
05/13/18,12:51:18,3984.00,45,43,45,45,0.9,62
05/13/18,12:51:19,3984.00,44,42,45,45,0.8,62
05/13/18,12:51:20,3984.00,45,43,45,45,1.0,62
05/13/18,12:51:21,3984.00,44,42,46,46,0.9,62
05/13/18,12:51:22,3964.08,44,42,45,45,1.0,62
05/13/18,12:51:23,3984.00,45,43,44,44,1.0,62
05/13/18,12:51:24,3984.00,45,43,45,45,0.9,62
05/13/18,12:51:25,3984.00,45,43,45,44,0.9,62
05/13/18,12:51:26,3984.00,45,43,45,44,0.9,62
05/13/18,12:51:27,3984.00,44,43,45,44,1.0,62
05/13/18,12:51:28,3984.00,45,43,45,44,0.9,62
05/13/18,12:51:29,3984.00,44,42,45,44,0.9,62
05/13/18,12:51:30,3984.00,44,42,45,44,1.0,62
05/13/18,12:51:31,3984.00,44,42,45,45,1.0,62
05/13/18,12:51:32,3984.00,44,42,45,45,1.0,62
05/13/18,12:51:33,3984.00,45,44,46,46,1.1,62
